2026-01-15 06:00:05 - SEÑAL DETECTADA: TRADE_80 LONG | Entry: $96503.80 | SL: $96318.51 | TP: $96874.38 | R:R 1:2
2026-01-15 06:02:23 - SEÑAL DETECTADA: TRADE_80 LONG | Entry: $96571.20 | SL: $96314.81 | TP: $97083.98 | R:R 1:2
2026-01-15 06:21:57 - SEÑAL DETECTADA: TRADE_80 LONG | Entry: $96559.20 | SL: $96310.80 | TP: $97056.00 | R:R 1:2
2026-01-15 06:25:20 - SEÑAL DETECTADA: TRADE_80 LONG | Entry: $96606.80 | SL: $96308.73 | TP: $97202.93 | R:R 1:2
2026-01-15 06:43:40 - SEÑAL DETECTADA: TRADE_80 LONG | Entry: $96657.00 | SL: $96308.64 | TP: $97353.72 | R:R 1:2
2026-01-15 07:32:32 - SEÑAL DETECTADA: TRADE_80 LONG | Entry: $96680.70 | SL: $96357.67 | TP: $97326.77 | R:R 1:2
2026-01-15 07:36:42 - SEÑAL DETECTADA: TRADE_80 LONG | Entry: $96662.50 | SL: $96351.92 | TP: $97283.67 | R:R 1:2
2026-01-15 08:30:45 - SEÑAL DETECTADA: TRADE_80 LONG | Entry: $96771.60 | SL: $96428.72 | TP: $97457.36 | R:R 1:2
2026-01-15 08:31:30 - SEÑAL DETECTADA: TRADE_80 LONG | Entry: $96664.40 | SL: $96423.62 | TP: $97145.97 | R:R 1:2
2026-01-15 08:55:08 - SEÑAL DETECTADA: TRADE_80 SHORT | Entry: $96288.60 | SL: $96469.30 | TP: $95927.20 | R:R 1:2
2026-01-15 08:56:31 - SEÑAL DETECTADA: TRADE_80 SHORT | Entry: $96183.10 | SL: $96486.46 | TP: $95576.38 | R:R 1:2
2026-01-15 09:02:48 - SEÑAL DETECTADA: TRADE_80 SHORT | Entry: $96234.00 | SL: $96481.57 | TP: $95738.86 | R:R 1:2
2026-01-15 09:03:21 - SEÑAL DETECTADA: TRADE_80 SHORT | Entry: $96164.00 | SL: $96482.82 | TP: $95526.35 | R:R 1:2
2026-01-15 10:01:10 - SEÑAL DETECTADA: TRADE_80 LONG | Entry: $96565.50 | SL: $96334.17 | TP: $97028.16 | R:R 1:2
2026-01-21 01:38:38 - SEÑAL DETECTADA: TRADE_80 LONG | Entry: $89263.60 | SL: $89156.19 | TP: $89478.42 | R:R 1:2
2026-01-21 02:20:06 - SEÑAL DETECTADA: TRADE_80 LONG | Entry: $89305.00 | SL: $89014.75 | TP: $89885.50 | R:R 1:2
2026-01-21 06:37:22 - SEÑAL DETECTADA: TRADE_80 SHORT | Entry: $88601.90 | SL: $88830.03 | TP: $88145.65 | R:R 1:2
2026-01-21 06:46:08 - SEÑAL DETECTADA: TRADE_80 SHORT | Entry: $88542.30 | SL: $88832.38 | TP: $87962.14 | R:R 1:2
2026-01-21 06:50:46 - SEÑAL DETECTADA: TRADE_80 SHORT | Entry: $88680.80 | SL: $88843.45 | TP: $88355.50 | R:R 1:2
2026-01-21 07:42:58 - SEÑAL DETECTADA: TRADE_80 SHORT | Entry: $88650.00 | SL: $89006.04 | TP: $87937.93 | R:R 1:2
